STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
56171099999,A-BA,1957-07-01,2002-07-17,null,CH,32.917,101.7,3170
53523099999,A-LU-CH'IH-LAO-KA,1974-06-13,2002-09-10,null,CH,39.883,108,1372
53192099999,ABAG QI,1956-08-20,2024-01-06,null,CH,44.0166666,115,1147.7
50468099999,AIHUI,1961-08-01,2024-01-06,null,CH,50.25,127.45,166
51711099999,AKQI,1957-07-01,2024-01-06,null,CH,40.9333333,78.45,1986
51730099999,ALAR,1962-03-02,2024-01-06,null,CH,40.5,81.05,1013
51076099999,ALTAY,1956-08-20,2024-01-06,null,CH,47.7333333,88.0833333,737
53602099999,ALXA ZUOQI/BAYAN HO,1960-01-01,1997-05-20,null,CH,38.833,105.533,1500
56007099999,AMDO NORTHEAST,1959-12-09,1962-03-31,null,CH,33.417,92.833,4648
58648099999,AN-REN,1974-04-21,1984-05-13,null,CH,28.05,119.333,274
52424099999,AN-XI,1957-06-29,1997-12-31,null,CH,40.5,96,1177
50854099999,ANDA,1956-08-20,2024-01-06,null,CH,46.3833333,125.3166666,150
51848099999,ANDIR,1962-03-02,1997-12-31,null,CH,37.933,83.65,1264
57245099999,ANKANG,1956-08-20,2024-01-06,null,CH,32.7166666,109.0333333,291
58424099999,ANQING,1956-08-20,2024-01-06,null,CH,30.6166666,116.9666667,63.2
54339099999,ANSHAN,1957-06-01,1997-12-31,null,CH,41.133,122.983,17
57806099999,ANSHUN,1959-12-02,1997-12-31,null,CH,26.267,105.967,1402
57574099999,ANXIANG,1959-11-01,1997-12-31,null,CH,29.433,112.183,28
53898099999,ANYANG,1957-06-01,2024-01-06,null,CH,36.05,114.1333333,195.7
74933899999,AO-CHIA-CHANG NORTH,1945-01-31,1945-08-31,null,CH,31.117,104,500
51056099999,APPROXIMATE LOCALE,1989-05-08,2002-09-18,null,CH,47.933,86.167,0
54498099999,APPROXIMATE LOCALE,1973-11-15,2002-06-05,null,CH,40.117,124.333,0
53363099999,APPROXIMATE LOCALE,1974-06-16,2002-02-03,null,CH,41.667,111.783,1524
52268099999,APPROXIMATE LOCALE,1974-04-25,2002-05-22,null,CH,42.083,101.667,0
53745099999,APPROXIMATE LOCALE,1973-10-04,2002-09-23,null,CH,37.467,109.583,0
57367099999,APPROXIMATE LOCALE,1974-05-14,2002-03-22,null,CH,31.167,111.167,0
57278099999,APPROXIMATE LOCALE,1973-10-07,2007-07-27,null,CH,32.317,112.633,0
57188099999,APPROXIMATE LOCALE,1973-11-11,2002-07-19,null,CH,33.233,113.467,0
52886099999,APPROXIMATE LOCALE,1973-11-08,2002-08-03,null,CH,36.567,103.7,1951
52523099999,APPROXIMATE LOCALE,1980-10-01,1984-06-11,null,CH,39.833,96.75,0
56031099999,APPROXIMATE LOCALE,1974-08-09,2001-10-17,null,CH,34.833,97.467,0
52947099999,APPROXIMATE LOCALE,1983-12-03,1985-06-25,null,CH,35.167,98.75,0
52940099999,APPROXIMATE LOCALE,1984-11-01,1985-11-16,null,CH,35.5,99.333,0
52958099999,APPROXIMATE LOCALE,1973-11-29,1989-08-16,null,CH,35.267,100.65,0
57321099999,APPROXIMATE LOCALE,1974-04-25,2002-06-05,null,CH,31.883,107.083,0
57026099999,APPROXIMATE LOCALE,1974-04-22,2002-03-22,null,CH,34.483,107.95,0
57445099999,APPROXIMATE LOCALE,1973-11-08,2007-07-27,null,CH,30.6,109.533,0
57150099999,APPROXIMATE LOCALE,1974-04-21,2002-05-15,null,CH,33.483,110.433,0
59311099999,APPROXIMATE LOCALE,1974-04-21,2002-01-10,null,CH,23.767,116.017,0
57765099999,APPROXIMATE LOCALE,1980-10-01,2005-05-18,null,CH,27.5,111.5,0
57982099999,APPROXIMATE LOCALE,1974-07-29,2002-09-09,null,CH,25.833,113.5,0
57716099999,APPROXIMATE LOCALE,1974-04-25,2002-06-27,null,CH,27.5,106.833,914
57927099999,APPROXIMATE LOCALE,1974-04-25,2002-06-11,null,CH,25.283,107.3,0
57931099999,APPROXIMATE LOCALE,1974-06-01,2001-10-25,null,CH,25.85,108.083,0
57646099999,APPROXIMATE LOCALE,1974-04-23,2002-09-27,null,CH,28.5,109.833,0
57659099999,APPROXIMATE LOCALE,1974-04-21,2002-08-09,null,CH,28.167,110.967,0
56681099999,APPROXIMATE LOCALE,1980-10-01,2002-05-24,null,CH,26.833,103.167,0
56776099999,APPROXIMATE LOCALE,1973-11-13,2001-12-29,null,CH,25.633,102.967,0
59853099999,APPROXIMATE LOCALE,1983-02-01,2004-09-08,null,CH,19.833,110.833,0
57913099999,APPROXIMATE LOCATIO,1980-10-04,1985-07-10,null,CH,25.833,106.833,0
54757099999,APPROXIMATE LOCATIO,1977-08-01,2009-06-21,null,CH,37.167,120.167,0
58521099999,APPROXIMATE LOCATIO,1980-10-10,2006-02-14,null,CH,29.833,117.167,0
58529099999,APPROXIMATE LOCATIO,1980-10-02,1984-05-29,null,CH,29.167,117.833,0
58732099999,APPROXIMATE LOCATIO,1980-10-01,2001-12-30,null,CH,27.833,118.5,0
58735099999,APPROXIMATE LOCATIO,1980-10-01,2002-05-18,null,CH,27.5,118.5,0
57802099999,APPROXIMATE LOCATIO,1980-10-01,2004-10-09,null,CH,26.833,105.5,0
51705099999,AR-TUX,1956-08-20,1997-12-31,null,CH,39.667,76.167,1494
50727099999,ARXAN,1956-08-20,2024-01-06,null,CH,47.1666666,119.9333333,997
52657099999,BABAO,1960-01-01,1997-05-14,null,CH,38.233,100.25,2700
51716099999,BACHU,1956-08-20,2024-01-06,null,CH,39.8,78.5666666,1117
50936099999,BAICHENG NORTHEAST,1956-08-20,1961-10-31,null,CH,45.633,122.85,151
51633099999,BAICHENG/BAY,1962-11-01,1997-12-31,null,CH,41.767,81.867,1280
57251099999,BAIHE,1974-04-23,1997-12-31,null,CH,32.767,110.117,610
53352099999,BAILING-MIAO,1956-08-20,2024-01-06,null,CH,41.7,110.4333333,1377
55279099999,BAINGOIN,1957-07-01,2023-04-28,null,CH,31.3666666,90.0166666,4701
59211099999,BAISE,1956-08-20,2024-01-06,null,CH,23.9,106.6,177
53463099999,BAITA,1956-08-20,2024-01-06,null,CH,40.851422,111.824103,1083.86
54476099999,BAIYANGGOU NW,1957-06-01,1959-08-31,null,CH,40.35,122.75,280
59287099999,BAIYUN INTL,1945-11-30,2024-01-06,null,CH,23.392436,113.298786,15.24
51467099999,BALGUNTAY,1960-01-01,2023-04-28,null,CH,42.6666666,86.3333333,1753
56441099999,BAME NORTHWEST,1960-01-01,1964-12-31,null,CH,28.883,98.583,4413
59493099999,BAOAN INTL,1957-06-01,2024-01-06,null,CH,22.639258,113.810664,3.96
54602099999,BAODING,1956-08-20,2024-01-06,null,CH,38.7333333,115.4833333,17
57016099999,BAOJI,1956-08-20,1997-12-31,null,CH,34.35,107.133,610
50888099999,BAOQING,1957-06-02,2024-01-06,null,CH,46.3166666,132.1833333,83
56748099999,BAOSHAN,1944-03-26,2024-01-06,null,CH,25.1166666,99.1833333,1649
53446399999,BAOTOU,2006-07-27,2019-06-11,null,CH,40.559367,109.998447,1012.24
53446099999,BAOTOU,1956-08-20,1984-08-13,null,CH,40.567,109.983,940
56172099999,BARKAM,1956-08-20,2024-01-06,null,CH,31.9,102.2333333,2666
52101099999,BARKOL,1961-09-01,1997-12-31,null,CH,43.583,92.85,1584
56247099999,BATANG,1956-08-20,2024-01-06,null,CH,30,99.1,2589
54518099999,BAXIAN,1957-06-01,1997-12-31,null,CH,39.05,116.4,8
52495099999,BAYAN MOD,1961-09-02,2024-01-06,null,CH,40.75,104.5,1329
51542099999,BAYANBULAK,1960-01-01,2024-01-06,null,CH,43.0333333,84.15,2459
51288099999,BAYTIK SHAN,1959-12-09,2023-04-28,null,CH,45.3666666,90.5333333,1651
57313099999,BAZHONG,1957-07-01,1997-12-31,null,CH,31.9,106.7,360
54512099999,BEI-JING/NAN-YUAN,1980-07-01,2002-02-09,null,CH,39.783,116.383,40
54513099999,BEI-JING/TONG-XIAN,1980-07-03,2001-07-25,null,CH,39.817,116.7,21
57014099999,BEIDAO,2005-01-01,2024-01-06,null,CH,34.57,105.87,1086
59644199999,BEIHAI AIRPORT,2010-06-02,2018-04-01,null,CH,21.539444,109.293889,16
54511099999,BEIJING - CAPITAL INTERNATIONAL AIRPORT,1945-10-31,2024-01-06,null,CH,40.080111,116.584556,35.35
52441099999,BEISHAN (MTNS),1973-01-01,1990-04-18,null,CH,40.717,98.617,1554
58221099999,BENGBU,1956-08-20,2024-01-06,null,CH,32.85,117.3,28
54346099999,BENXI,1957-06-01,2024-01-06,null,CH,41.3166666,123.7833333,185
56016099999,BIE-LI-XI-DU,1973-01-01,2003-03-05,null,CH,34.1,95.033,4785
57707099999,BIJIE,1956-08-20,2024-01-06,null,CH,27.3,105.2333333,1511
56983099999,BING-YUAN-JIE,1980-07-01,2002-05-29,null,CH,23.7,103.833,1524
54527399999,BINHAI,1981-11-25,2024-01-06,null,CH,39.124353,117.346183,3.04
59446099999,BOBAI,1957-06-01,1997-12-31,null,CH,22.25,109.967,121
53278099999,BOIN SUM,1989-09-01,1991-06-07,null,CH,42.2,112.517,1280
51330099999,BOLE/BORTALA,1962-03-02,1997-12-31,null,CH,44.917,82.067,1366
50646099999,BORDO,1957-06-01,1959-08-31,null,CH,48.483,124.85,199
58102099999,BOXIAN,1956-08-21,2024-01-06,null,CH,33.7833333,115.7333333,40.3
57051099999,BUCHANG SOUTHEAST,1957-06-16,1959-08-31,null,CH,34.833,110.167,332
50632099999,BUGT,1956-08-20,2024-01-06,null,CH,48.7666666,121.9166666,739
54226099999,BUGT,1957-06-01,2024-01-06,null,CH,42.3333333,120.7,401
52679099999,CAIQI SOUTHEAST,1956-08-20,1961-10-31,null,CH,38.083,102.917,1525
54858099999,CANG-KOU,1973-11-10,2004-01-26,null,CH,36.167,120.367,10
54745099999,CANG-SHANG,1974-04-26,1984-04-08,null,CH,37.367,119.9,1
54616099999,CANGZHOU,1956-08-20,2001-10-24,null,CH,38.333,116.833,11
53868099999,CANYU NORTHEAST,1956-08-20,1961-10-31,null,CH,36.15,111.45,462
54483099999,CAOHEKOU,1956-08-20,1990-04-14,null,CH,40.883,123.9,235
59453099999,CEN-XI,1957-07-01,1997-12-31,null,CH,22.933,110.983,243
51720099999,CH'I-LAN-TAI,1962-02-02,1997-12-31,null,CH,40.533,79.533,1158
57606099999,CH'IH-SHUI HO,1957-07-01,1997-12-31,null,CH,28.483,105.933,977
52842099999,CHA-KA,1961-09-01,1997-12-31,null,CH,36.783,99.083,2925
74935199999,CHA-YIN-LU SOUTHWEST,1945-10-31,1947-03-31,null,CH,31.317,121.5,6
57883099999,CHALING,1957-06-01,1997-12-31,null,CH,26.8,113.533,176
58632099999,CHANG-SHAN,1974-04-25,2003-01-01,null,CH,28.933,118.5,137
53929099999,CHANG-WU,1980-10-01,1997-12-31,null,CH,35.217,107.8,1219
53887099999,CHANG-ZHI,1956-08-20,2004-11-17,null,CH,36.2,113.117,975
58606099999,CHANGBEI INTL,1956-08-20,2024-01-06,null,CH,28.865,115.9,43.58
57662099999,CHANGDE,1956-08-20,2024-01-06,null,CH,29.05,111.6833333,35
54049099999,CHANGLING,1956-08-20,2024-01-06,null,CH,44.25,123.9666666,190
57687099999,CHANGSHA,1944-02-14,2024-01-06,null,CH,28.1166666,112.7833333,120
57679099999,CHANGSHA/DATUOPU,1956-08-20,1988-07-14,null,CH,28.2,113.0833333,46
58911099999,CHANGTING,1957-03-01,2024-01-06,null,CH,25.85,116.3666666,311
58343099999,CHANGZHOU,1956-08-20,1997-12-31,null,CH,31.767,119.95,15
58326099999,CHAOHU WEST,1957-06-01,1961-03-14,null,CH,31.6,117.833,21
54324099999,CHAOYANG,1957-03-02,2024-01-06,null,CH,41.55,120.45,176
54326099999,CHAOYANG AIRFIELD,1957-06-01,2002-06-03,null,CH,41.583,120.433,152
55690099999,CHE-KU,1987-03-11,1997-12-31,null,CH,28.7,91.633,4336
57144099999,CHEN-AN,1959-12-09,1997-12-31,null,CH,33.417,109.15,610
57738099999,CHEN-YUAN,1956-08-20,1958-02-03,null,CH,27.05,108.4,464
54145099999,CHENG-CHIZ-T'UN,1980-04-02,2001-11-14,null,CH,43.5,123.5,183
57106099999,CHENG-XIAN,1956-08-20,1997-12-31,null,CH,33.75,105.75,1128
54423099999,CHENGDE,1956-08-20,2024-01-06,null,CH,40.9666666,117.9166666,423
54575099999,CHENGZITAN,1957-06-01,1959-08-31,null,CH,39.5,122.5,17
57972099999,CHENZHOU,1956-08-20,2024-01-06,null,CH,25.7333333,112.9666666,368.8
31371099999,CHERNJAEVO,1948-01-01,2024-01-06,null,RS,52.7833333,126,210
50873099999,CHIA-MU-SSU /CHIAMUEZE,1956-08-20,1961-10-31,null,CH,46.817,130.333,80.2
58140099999,CHIANELO,1979-07-10,1981-05-29,null,CH,26.767,117.367,183
54218099999,CHIFENG,1956-08-20,2024-01-06,null,CH,42.3,118.8333333,567
74933699999,CHING-SHUI-PU NORTH,1943-12-31,1946-10-31,null,CH,30.25,104.033,481
52797099999,CHING-T'AI,1962-03-02,1997-05-14,null,CH,37.133,104.217,1402
56227099999,CHING-TO EAST,1956-08-20,1957-05-31,null,CH,30.1,95.783,5108
57614099999,CHIU-HSI-SHUI SOUTH,1960-02-01,1961-02-22,null,CH,28.567,106.083,289
53938099999,CHIU-PO-TOU NW,1974-06-01,1974-10-25,null,CH,35.283,108.3,1219
57515099999,CHONG-QING,1956-08-20,1987-01-14,null,CH,29.517,106.483,351
51526099999,CHUGIRTY,1962-03-02,1997-12-31,null,CH,42.8,80.85,2042
58543099999,CHUN AN,2007-07-27,2024-01-06,null,CH,29.6166666,119.0166666,172
47014099999,CHUNGGANG,1957-02-02,2024-01-06,null,KN,41.7833333,126.8833333,331
56768099999,CHUXIONG,1944-01-31,2023-04-28,null,CH,25.0166666,101.5166666,1820
58236099999,CHUZHOU EAST,1957-06-01,1961-03-22,null,CH,32.317,118.333,26
57023099999,CUI-MU,1961-09-01,2005-04-23,null,CH,34.8,107.867,914
57328099999,DA XIAN,1956-08-20,2024-01-06,null,CH,31.2,107.5,344
57708099999,DA-FANG,1973-10-16,2002-05-30,null,CH,27.15,105.6,1520
54351099999,DA-HUO-FANG,1961-08-01,1997-12-31,null,CH,41.883,124.083,273
52713099999,DA-QAIDAM,1957-06-30,2024-01-06,null,CH,37.85,95.3666666,3174
59242099999,DA-WAN,1957-06-02,1997-12-31,null,CH,23.85,109.417,76
54756099999,DA-XIN-DIAN,1974-04-26,2014-05-03,null,CH,37.617,120.9,100
57506099999,DA-ZU,1974-04-23,2002-04-15,null,CH,29.633,105.767,305
56315099999,DABBA SOUTHWEST,1957-07-01,1963-12-31,null,CH,29.033,100.167,4553
58947099999,DAI-TOU,1974-08-17,2002-04-08,null,CH,25.267,119.2,37
52353099999,DALAIN HOB EAST,1957-06-01,1958-05-31,null,CH,41.967,100.883,946
56751099999,DALI,1943-11-30,2024-01-06,null,CH,25.7,100.1833333,1992
52618099999,DANGCHENGWAN SOUTH,1962-03-02,1962-04-30,null,CH,39.167,94.833,3746
59845099999,DANXIAN,1957-06-02,2024-01-06,null,CH,19.5166666,109.5833333,169
57960099999,DAO XIAN NORTH,1961-01-07,1961-03-14,null,CH,25.55,111.583,179
56357099999,DAOCHENG,1964-01-01,2024-01-06,null,CH,29.05,100.3,3729
57965099999,DAOXIAN,1973-01-01,1997-12-31,null,CH,25.617,111.6,152
59309099999,DAPING,1974-04-21,1975-12-21,null,CH,23.183,115.85,97
56143099999,DARCANG WEST,1960-02-01,1961-02-27,null,CH,32.783,99.917,4147
56046099999,DARLAG,1956-08-20,2024-01-06,null,CH,33.75,99.65,3968
57667099999,DARONGTANG SOUTHEAST,1974-04-21,1974-09-19,null,CH,28.317,111.133,397
53487099999,DATONG,1957-06-01,2024-01-06,null,CH,40.0833333,113.4166666,1054
56167099999,DAWU,1979-07-01,2024-01-06,null,CH,30.9833333,101.1166666,2959
58244099999,DAYIJI NORTH,1974-01-12,2012-05-23,null,CH,32.55,119.233,30
56462599999,DAYONG,2007-10-10,2024-01-06,null,CH,29.1333333,100.4833333,900
56144099999,DEGE,1957-07-01,2024-01-06,null,CH,31.7333333,98.5666666,3201
56986099999,DEHOUJIE,1980-07-01,1997-12-31,null,CH,23.583,103.867,1423
52737099999,DELINGHA,1956-08-20,2024-01-06,null,CH,37.3666666,97.3666666,2982
56085099999,DENGKAGOIN,1973-10-05,1974-09-24,null,CH,34.04,103.333,3166
56116099999,DENGQEN,1956-08-20,2024-01-06,null,CH,31.4166666,95.6,3874
56444099999,DEQEN,1956-08-20,2024-01-06,null,CH,28.45,98.8833333,3320
55488099999,DEQEN SOUTH,1959-12-10,1962-06-30,null,CH,30.333,90.083,5304
54714099999,DEZHOU,1956-08-20,2002-02-12,null,CH,37.433,116.317,22
54907099999,DING-TAO,1980-04-01,1982-04-28,null,CH,35.067,115.567,0
54909099999,DINGTAO,1995-04-01,2024-01-06,null,CH,35.0833333,115.5166666,51
51463599999,DIWOPU,1985-02-09,2024-01-06,null,CH,43.907106,87.474244,647.7
53543099999,DONGSHENG,1973-01-01,2024-01-06,null,CH,39.8333333,109.9833333,1459
58251099999,DONGTAI,1956-08-20,2024-01-06,null,CH,32.85,120.2833333,4
52836099999,DOULAN,1956-08-20,2024-01-06,null,CH,36.3,98.1,3190
59037099999,DU AN,1957-06-01,1961-03-14,null,CH,24.017,108.083,162
54186099999,DUNHUA,1957-06-01,2024-01-06,null,CH,43.3666666,128.2,525
52418099999,DUNHUANG,1956-08-20,2023-04-28,null,CH,40.15,94.6833333,1140
54208099999,DUOLUN,1956-08-20,2024-01-06,null,CH,42.1833333,116.4666666,1247
57922099999,DUSHAN,1945-04-30,2024-01-06,null,CH,25.8333333,107.55,971
52267099999,EJIN QI,1960-03-01,2023-04-28,null,CH,41.95,101.0666666,941
56385099999,EMEI SHAN,1956-08-20,2024-01-06,null,CH,29.5166666,103.3333333,3049
57448099999,EN-SHI (CHI-AFB),1974-04-21,2002-06-15,null,CH,30.3,109.483,457
53195099999,ENGER SHOOTO,1957-06-01,2009-09-04,null,CH,43.383,114.45,1128
57447099999,ENSHI,1945-03-31,2024-01-06,null,CH,30.2833333,109.4666666,458
53068099999,ERENHOT,1956-08-20,2024-01-06,null,CH,43.65,112,966
74934199999,ERH-LANG-PA NORTH,1945-02-28,1945-10-06,null,CH,32.967,107.2,518
57259099999,FANGXIAN,1959-11-01,2024-01-06,null,CH,32.0333333,110.7666666,435
57348099999,FENGJIE,1956-08-20,2024-01-06,null,CH,31.0166666,109.5333333,303
54308099999,FENGNING,1957-06-01,2024-01-06,null,CH,41.2,116.6333333,661
57025099999,FENGXIANG,2005-05-02,2024-01-06,null,CH,34.5166666,107.3833333,781
58502099999,FENLU SOUTHEAST,1956-08-20,1963-12-31,null,CH,29.75,115.917,31
57483099999,FENSUIZUI NORTH,1957-06-01,1961-03-24,null,CH,30.65,113.65,30
54929099999,FEZXZAN,1998-03-01,2024-01-06,null,CH,35.25,117.95,120
59087099999,FOGANG,1957-06-02,2024-01-06,null,CH,23.8833333,113.5166666,68
69253499999,FORT CAMPBELL / TEST,1987-04-27,1991-04-05,KY,US,36.6666666,87.5,114
57522099999,FOU-LING,1959-12-09,1997-12-31,null,CH,29.717,107.4,275
58754099999,FUDING,1956-08-20,2024-01-06,null,CH,27.3333333,120.2,38
51068099999,FUHAI/BURULTOKAY,1962-03-06,1997-12-31,null,CH,47.1,87.383,472
50788099999,FUJIN,1956-08-20,2024-01-06,null,CH,47.2333333,131.9833333,65
51365099999,FUKANG,1962-03-02,1997-12-31,null,CH,44.15,87.983,549
57822099999,FUQUAN,1973-10-04,1974-09-14,null,CH,26.7,107.5,896
54284099999,FUSONG,1961-08-01,1997-12-31,null,CH,42.333,127.283,610
54563099999,FUXIAN/WAFANGDIAN,1957-06-01,1997-12-31,null,CH,39.633,121.983,17
54237099999,FUXIN,1957-06-01,1997-12-31,null,CH,42,121.633,182
58203099999,FUYANG,1957-06-01,2024-01-06,null,CH,32.8666666,115.7333333,33
51087099999,FUYUN,1956-08-20,2024-01-06,null,CH,46.9833333,89.5166666,827
58847099999,FUZHOU,1956-08-20,2024-01-06,null,CH,26.0833333,119.2833333,85
58847099999,FUZHOU,1956-08-20,2024-01-06,null,CH,26.0833333,119.2833333,85
56074099999,GA-HAI,1989-01-01,1997-05-14,null,CH,34.2,102.3,3109
52754099999,GANGCA,1961-03-16,2024-01-06,null,CH,37.3333333,100.1333333,3302
58040099999,GANYU,1958-01-04,2024-01-06,null,CH,34.85,119.1333333,10
